% Edge logfile: log_20240404_121729.277/log_edge_ctrl.txt
% 1 	Time (sec)
% 2 	heading mode (edge control == 2)
% 3 	Edge 1=left, 0=right
% 4 	Edge offset (signed in m; should be less than about 0.01)
% 5 	Measured edge value (m; positive is left)
% 6 	control value (rad/sec; positive is CCV)
% 7 	limited
1712225852.6325 2 1 0.0300 0.0193 -0.3580 0
1712225852.6407 2 1 0.0300 0.0195 -0.3455 0
1712225852.6490 2 1 0.0300 0.0195 -0.3505 0
1712225852.6566 2 1 0.0300 0.0189 -0.4008 0
1712225852.6645 2 1 0.0300 0.0195 -0.3596 0
1712225852.6726 2 1 0.0300 0.0196 -0.3526 0
1712225852.6805 2 1 0.0300 0.0192 -0.3914 0
1712225852.6885 2 1 0.0300 0.0189 -0.4118 0
1712225852.6967 2 1 0.0300 0.0196 -0.3573 0
1712225852.7044 2 1 0.0300 0.0192 -0.3919 0
1712225852.7124 2 1 0.0300 0.0195 -0.3749 0
1712225852.7205 2 1 0.0300 0.0188 -0.4329 0
1712225852.7367 2 1 0.0300 0.0191 -0.4060 0
1712225852.7449 2 1 0.0300 0.0192 -0.4019 0
1712225852.7527 2 1 0.0300 0.0192 -0.4013 0
1712225852.7606 2 1 0.0300 0.0193 -0.3970 0
1712225852.7686 2 1 0.0300 0.0189 -0.4341 0
1712225852.7765 2 1 0.0300 0.0194 -0.3922 0
1712225852.7845 2 1 0.0300 0.0194 -0.3962 0
1712225852.7925 2 1 0.0300 0.0194 -0.3975 0
1712225852.8004 2 1 0.0300 0.0196 -0.3831 0
1712225852.8084 2 1 0.0300 0.0198 -0.3627 0
1712225852.8166 2 1 0.0300 0.0194 -0.4010 0
1712225852.8243 2 1 0.0300 0.0196 -0.3883 0
1712225852.8323 2 1 0.0300 0.0203 -0.3356 0
1712225852.8406 2 1 0.0300 0.0204 -0.3253 0
1712225852.8484 2 1 0.0300 0.0201 -0.3564 0
1712225852.8564 2 1 0.0300 0.0203 -0.3396 0
1712225852.8646 2 1 0.0300 0.0204 -0.3360 0
1712225852.8733 2 1 0.0300 0.0205 -0.3294 0
1712225852.8813 2 1 0.0300 0.0204 -0.3397 0
1712225852.8894 2 1 0.0300 0.0210 -0.2942 0
1712225852.8972 2 1 0.0300 0.0210 -0.2976 0
1712225852.9052 2 1 0.0300 0.0206 -0.3296 0
1712225852.9124 2 1 0.0300 0.0210 -0.3003 0
1712225852.9212 2 1 0.0300 0.0213 -0.2799 0
1712225852.9292 2 1 0.0300 0.0212 -0.2961 0
1712225852.9372 2 1 0.0300 0.0219 -0.2456 0
1712225852.9449 2 1 0.0300 0.0219 -0.2427 0
